ID;TypeOfEducation;IdeologicalBasisOfTheSchool;Schoolsize;Periods;SchoolsInstitutions_1;EnrolledPupilsStudents_2
0;A025301;T001305;T001304;1990SJ00;9332;1529513
1;A025301;T001305;T001304;1991SJ00;9315;1494392
2;A025301;T001305;T001304;1992SJ00;9199;1501585
3;A025301;T001305;T001304;1993SJ00;9003;1515330
4;A025301;T001305;T001304;1994SJ00;8719;1541810
5;A025301;T001305;T001304;1995SJ00;8262;1569616
6;A025301;T001305;T001304;1996SJ00;8131;1593978
7;A025301;T001305;T001304;1997SJ00;7957;1613655
8;A025301;T001305;T001304;1998SJ00;7893;1628595
9;A025301;T001305;T001304;1999SJ00;7843;1638695
10;A025301;T001305;T001304;2000SJ00;7759;1643930
11;A025301;T001305;T001304;2001SJ00;7728;1652537
12;A025301;T001305;T001304;2002SJ00;7722;1653739
13;A025301;T001305;T001304;2003SJ00;7679;1653280
14;A025301;T001305;T001304;2004SJ00;7638;1654970
15;A025301;T001305;T001304;2005SJ00;7619;1656831
16;A025301;T001305;T001304;2006SJ00;7584;1657199
17;A025301;T001305;T001304;2007SJ00;7552;1662138
18;A025301;T001305;T001304;2008SJ00;7546;1663651
19;A025301;T001305;T001304;2009SJ00;7533;1659397
20;A025301;T001305;T001304;2010SJ00;7484;1646613
21;A025301;T001305;T001304;2011SJ00;7435;1629419
22;A025301;T001305;T001304;2012SJ00;7361;1608350
23;A025301;T001305;T001304;2013SJ00;7262;1586085
24;A025301;T001305;T001304;2014SJ00;7157;1565375
25;A025301;T001305;T001304;2015SJ00;6986;1546049
26;A025301;T001305;T001304;2016SJ00;6894;1528206
27;A025301;T001305;T001304;2017SJ00;6805;1515489
28;A025301;T001305;T001304;2018SJ00;6741;1508854
29;A025301;T001305;T001304;2019SJ00;6707;1501997
30;A025301;T001305;T001304;2020SJ00;6661;1491988
31;A025301;T001305;T001304;2021SJ00;6608;1477938
32;A025301;T001305;A041906;1990SJ00;2542;168484
33;A025301;T001305;A041906;1991SJ00;2638;174852
34;A025301;T001305;A041906;1992SJ00;2547;171543
35;A025301;T001305;A041906;1993SJ00;2402;161008
36;A025301;T001305;A041906;1994SJ00;2165;146166
37;A025301;T001305;A041906;1995SJ00;1877;126406
38;A025301;T001305;A041906;1996SJ00;1787;121042
39;A025301;T001305;A041906;1997SJ00;1639;111553
40;A025301;T001305;A041906;1998SJ00;1562;106030
41;A025301;T001305;A041906;1999SJ00;1536;103786
42;A025301;T001305;A041906;2000SJ00;1471;101504
43;A025301;T001305;A041906;2001SJ00;1414;97468
44;A025301;T001305;A041906;2002SJ00;1413;96381
45;A025301;T001305;A041906;2003SJ00;1378;94839
46;A025301;T001305;A041906;2004SJ00;1347;92586
47;A025301;T001305;A041906;2005SJ00;1356;93842
48;A025301;T001305;A041906;2006SJ00;1351;94080
49;A025301;T001305;A041906;2007SJ00;1322;90742
50;A025301;T001305;A041906;2008SJ00;1368;93275
51;A025301;T001305;A041906;2009SJ00;1418;96848
52;A025301;T001305;A041906;2010SJ00;1446;99194
53;A025301;T001305;A041906;2011SJ00;1443;98271
54;A025301;T001305;A041906;2012SJ00;1429;96993
55;A025301;T001305;A041906;2013SJ00;1420;96845
56;A025301;T001305;A041906;2014SJ00;1399;95714
57;A025301;T001305;A041906;2015SJ00;1337;92771
58;A025301;T001305;A041906;2016SJ00;1307;90801
59;A025301;T001305;A041906;2017SJ00;1262;87967
60;A025301;T001305;A041906;2018SJ00;1217;84950
61;A025301;T001305;A041906;2019SJ00;1223;85688
62;A025301;T001305;A041906;2020SJ00;1212;84566
63;A025301;T001305;A041906;2021SJ00;1170;81948
64;A025301;T001305;A041907;1990SJ00;4022;593352
65;A025301;T001305;A041907;1991SJ00;4047;595157
66;A025301;T001305;A041907;1992SJ00;3969;585976
67;A025301;T001305;A041907;1993SJ00;3713;549500
68;A025301;T001305;A041907;1994SJ00;3421;509463
69;A025301;T001305;A041907;1995SJ00;2925;439162
70;A025301;T001305;A041907;1996SJ00;2744;411296
71;A025301;T001305;A041907;1997SJ00;2642;396813
72;A025301;T001305;A041907;1998SJ00;2603;392332
73;A025301;T001305;A041907;1999SJ00;2546;384858
74;A025301;T001305;A041907;2000SJ00;2515;382881
75;A025301;T001305;A041907;2001SJ00;2519;382464
76;A025301;T001305;A041907;2002SJ00;2532;384064
77;A025301;T001305;A041907;2003SJ00;2552;386899
78;A025301;T001305;A041907;2004SJ00;2549;385774
79;A025301;T001305;A041907;2005SJ00;2515;380541
80;A025301;T001305;A041907;2006SJ00;2508;379883
81;A025301;T001305;A041907;2007SJ00;2500;377658
82;A025301;T001305;A041907;2008SJ00;2454;370638
83;A025301;T001305;A041907;2009SJ00;2438;368543
84;A025301;T001305;A041907;2010SJ00;2421;366466
85;A025301;T001305;A041907;2011SJ00;2443;369255
86;A025301;T001305;A041907;2012SJ00;2445;368906
87;A025301;T001305;A041907;2013SJ00;2423;365557
88;A025301;T001305;A041907;2014SJ00;2386;358641
89;A025301;T001305;A041907;2015SJ00;2309;346533
90;A025301;T001305;A041907;2016SJ00;2294;345134
91;A025301;T001305;A041907;2017SJ00;2307;347718
92;A025301;T001305;A041907;2018SJ00;2295;345671
93;A025301;T001305;A041907;2019SJ00;2261;340999
94;A025301;T001305;A041907;2020SJ00;2231;336562
95;A025301;T001305;A041907;2021SJ00;2243;337262
96;A025301;T001305;A041908;1990SJ00;2719;739986
97;A025301;T001305;A041908;1991SJ00;2591;702172
98;A025301;T001305;A041908;1992SJ00;2637;717854
99;A025301;T001305;A041908;1993SJ00;2835;774853
100;A025301;T001305;A041908;1994SJ00;3063;846289
101;A025301;T001305;A041908;1995SJ00;3358;945271
102;A025301;T001305;A041908;1996SJ00;3480;991913
103;A025301;T001305;A041908;1997SJ00;3519;1013402
104;A025301;T001305;A041908;1998SJ00;3554;1028115
105;A025301;T001305;A041908;1999SJ00;3576;1039411
106;A025301;T001305;A041908;2000SJ00;3589;1048264
107;A025301;T001305;A041908;2001SJ00;3590;1049542
108;A025301;T001305;A041908;2002SJ00;3570;1048186
109;A025301;T001305;A041908;2003SJ00;3534;1041566
110;A025301;T001305;A041908;2004SJ00;3518;1040197
111;A025301;T001305;A041908;2005SJ00;3512;1038290
112;A025301;T001305;A041908;2006SJ00;3466;1024950
113;A025301;T001305;A041908;2007SJ00;3452;1021945
114;A025301;T001305;A041908;2008SJ00;3432;1017651
115;A025301;T001305;A041908;2009SJ00;3377;1005306
116;A025301;T001305;A041908;2010SJ00;3309;985638
117;A025301;T001305;A041908;2011SJ00;3224;956701
118;A025301;T001305;A041908;2012SJ00;3171;941257
119;A025301;T001305;A041908;2013SJ00;3111;926818
120;A025301;T001305;A041908;2014SJ00;3054;907784
121;A025301;T001305;A041908;2015SJ00;3030;902283
122;A025301;T001305;A041908;2016SJ00;2979;885795
123;A025301;T001305;A041908;2017SJ00;2925;874572
124;A025301;T001305;A041908;2018SJ00;2920;873597
125;A025301;T001305;A041908;2019SJ00;2921;875226
126;A025301;T001305;A041908;2020SJ00;2923;875137
127;A025301;T001305;A041908;2021SJ00;2911;870363
128;A025301;T001305;A041909;1990SJ00;49;27691
129;A025301;T001305;A041909;1991SJ00;39;22211
130;A025301;T001305;A041909;1992SJ00;46;26212
131;A025301;T001305;A041909;1993SJ00;53;29969
132;A025301;T001305;A041909;1994SJ00;70;39892
133;A025301;T001305;A041909;1995SJ00;102;58777
134;A025301;T001305;A041909;1996SJ00;120;69727
135;A025301;T001305;A041909;1997SJ00;157;91887
136;A025301;T001305;A041909;1998SJ00;173;101083
137;A025301;T001305;A041909;1999SJ00;184;109518
138;A025301;T001305;A041909;2000SJ00;181;108064
139;A025301;T001305;A041909;2001SJ00;202;119738
140;A025301;T001305;A041909;2002SJ00;204;121713
141;A025301;T001305;A041909;2003SJ00;213;127585
142;A025301;T001305;A041909;2004SJ00;222;134037
143;A025301;T001305;A041909;2005SJ00;234;141816
144;A025301;T001305;A041909;2006SJ00;256;154890
145;A025301;T001305;A041909;2007SJ00;274;167292
146;A025301;T001305;A041909;2008SJ00;287;176347
147;A025301;T001305;A041909;2009SJ00;293;180624
148;A025301;T001305;A041909;2010SJ00;302;187907
149;A025301;T001305;A041909;2011SJ00;318;196579
150;A025301;T001305;A041909;2012SJ00;309;192376
151;A025301;T001305;A041909;2013SJ00;299;185655
152;A025301;T001305;A041909;2014SJ00;307;190161
153;A025301;T001305;A041909;2015SJ00;297;185248
154;A025301;T001305;A041909;2016SJ00;301;187358
155;A025301;T001305;A041909;2017SJ00;298;185973
156;A025301;T001305;A041909;2018SJ00;296;185013
157;A025301;T001305;A041909;2019SJ00;289;180393
158;A025301;T001305;A041909;2020SJ00;283;177155
159;A025301;T001305;A041909;2021SJ00;271;168863
160;A025301;T001305;A041910;1990SJ00;0;0
161;A025301;T001305;A041910;1991SJ00;0;0
162;A025301;T001305;A041910;1992SJ00;0;0
163;A025301;T001305;A041910;1993SJ00;0;0
164;A025301;T001305;A041910;1994SJ00;0;0
165;A025301;T001305;A041910;1995SJ00;0;0
166;A025301;T001305;A041910;1996SJ00;0;0
167;A025301;T001305;A041910;1997SJ00;0;0
168;A025301;T001305;A041910;1998SJ00;1;1035
169;A025301;T001305;A041910;1999SJ00;1;1122
170;A025301;T001305;A041910;2000SJ00;3;3217
171;A025301;T001305;A041910;2001SJ00;3;3325
172;A025301;T001305;A041910;2002SJ00;3;3395
173;A025301;T001305;A041910;2003SJ00;2;2391
174;A025301;T001305;A041910;2004SJ00;2;2376
175;A025301;T001305;A041910;2005SJ00;2;2342
176;A025301;T001305;A041910;2006SJ00;3;3396
177;A025301;T001305;A041910;2007SJ00;4;4501
178;A025301;T001305;A041910;2008SJ00;5;5740
179;A025301;T001305;A041910;2009SJ00;7;8076
180;A025301;T001305;A041910;2010SJ00;6;7408
181;A025301;T001305;A041910;2011SJ00;7;8613
182;A025301;T001305;A041910;2012SJ00;7;8818
183;A025301;T001305;A041910;2013SJ00;9;11210
184;A025301;T001305;A041910;2014SJ00;11;13075
185;A025301;T001305;A041910;2015SJ00;11;12908
186;A025301;T001305;A041910;2016SJ00;11;13205
187;A025301;T001305;A041910;2017SJ00;11;13220
188;A025301;T001305;A041910;2018SJ00;11;13490
189;A025301;T001305;A041910;2019SJ00;11;13710
190;A025301;T001305;A041910;2020SJ00;10;12621
191;A025301;T001305;A041910;2021SJ00;11;13753
192;A025301;T001305;A041911;1990SJ00;0;0
193;A025301;T001305;A041911;1991SJ00;0;0
194;A025301;T001305;A041911;1992SJ00;0;0
195;A025301;T001305;A041911;1993SJ00;0;0
196;A025301;T001305;A041911;1994SJ00;0;0
197;A025301;T001305;A041911;1995SJ00;0;0
198;A025301;T001305;A041911;1996SJ00;0;0
199;A025301;T001305;A041911;1997SJ00;0;0
200;A025301;T001305;A041911;1998SJ00;0;0
201;A025301;T001305;A041911;1999SJ00;0;0
202;A025301;T001305;A041911;2000SJ00;0;0
203;A025301;T001305;A041911;2001SJ00;0;0
204;A025301;T001305;A041911;2002SJ00;0;0
205;A025301;T001305;A041911;2003SJ00;0;0
206;A025301;T001305;A041911;2004SJ00;0;0
207;A025301;T001305;A041911;2005SJ00;0;0
208;A025301;T001305;A041911;2006SJ00;0;0
209;A025301;T001305;A041911;2007SJ00;0;0
210;A025301;T001305;A041911;2008SJ00;0;0
211;A025301;T001305;A041911;2009SJ00;0;0
212;A025301;T001305;A041911;2010SJ00;0;0
213;A025301;T001305;A041911;2011SJ00;0;0
214;A025301;T001305;A041911;2012SJ00;0;0
215;A025301;T001305;A041911;2013SJ00;0;0
216;A025301;T001305;A041911;2014SJ00;0;0
217;A025301;T001305;A041911;2015SJ00;2;6306
218;A025301;T001305;A041911;2016SJ00;2;5913
219;A025301;T001305;A041911;2017SJ00;2;6039
220;A025301;T001305;A041911;2018SJ00;2;6133
221;A025301;T001305;A041911;2019SJ00;2;5981
222;A025301;T001305;A041911;2020SJ00;2;5947
223;A025301;T001305;A041911;2021SJ00;2;5749
224;A025301;T001305;A041912;1990SJ00;0;0
225;A025301;T001305;A041912;1991SJ00;0;0
226;A025301;T001305;A041912;1992SJ00;0;0
227;A025301;T001305;A041912;1993SJ00;0;0
228;A025301;T001305;A041912;1994SJ00;0;0
229;A025301;T001305;A041912;1995SJ00;0;0
230;A025301;T001305;A041912;1996SJ00;0;0
231;A025301;T001305;A041912;1997SJ00;0;0
232;A025301;T001305;A041912;1998SJ00;0;0
233;A025301;T001305;A041912;1999SJ00;0;0
234;A025301;T001305;A041912;2000SJ00;0;0
235;A025301;T001305;A041912;2001SJ00;0;0
236;A025301;T001305;A041912;2002SJ00;0;0
237;A025301;T001305;A041912;2003SJ00;0;0
238;A025301;T001305;A041912;2004SJ00;0;0
239;A025301;T001305;A041912;2005SJ00;0;0
240;A025301;T001305;A041912;2006SJ00;0;0
241;A025301;T001305;A041912;2007SJ00;0;0
242;A025301;T001305;A041912;2008SJ00;0;0
243;A025301;T001305;A041912;2009SJ00;0;0
244;A025301;T001305;A041912;2010SJ00;0;0
245;A025301;T001305;A041912;2011SJ00;0;0
246;A025301;T001305;A041912;2012SJ00;0;0
247;A025301;T001305;A041912;2013SJ00;0;0
248;A025301;T001305;A041912;2014SJ00;0;0
249;A025301;T001305;A041912;2015SJ00;0;0
250;A025301;T001305;A041912;2016SJ00;0;0
251;A025301;T001305;A041912;2017SJ00;0;0
252;A025301;T001305;A041912;2018SJ00;0;0
253;A025301;T001305;A041912;2019SJ00;0;0
254;A025301;T001305;A041912;2020SJ00;0;0
255;A025301;T001305;A041912;2021SJ00;0;0
256;A025301;T001305;A041913;1990SJ00;0;0
257;A025301;T001305;A041913;1991SJ00;0;0
258;A025301;T001305;A041913;1992SJ00;0;0
259;A025301;T001305;A041913;1993SJ00;0;0
260;A025301;T001305;A041913;1994SJ00;0;0
261;A025301;T001305;A041913;1995SJ00;0;0
262;A025301;T001305;A041913;1996SJ00;0;0
263;A025301;T001305;A041913;1997SJ00;0;0
264;A025301;T001305;A041913;1998SJ00;0;0
265;A025301;T001305;A041913;1999SJ00;0;0
266;A025301;T001305;A041913;2000SJ00;0;0
267;A025301;T001305;A041913;2001SJ00;0;0
268;A025301;T001305;A041913;2002SJ00;0;0
269;A025301;T001305;A041913;2003SJ00;0;0
270;A025301;T001305;A041913;2004SJ00;0;0
271;A025301;T001305;A041913;2005SJ00;0;0
272;A025301;T001305;A041913;2006SJ00;0;0
273;A025301;T001305;A041913;2007SJ00;0;0
274;A025301;T001305;A041913;2008SJ00;0;0
275;A025301;T001305;A041913;2009SJ00;0;0
276;A025301;T001305;A041913;2010SJ00;0;0
277;A025301;T001305;A041913;2011SJ00;0;0
278;A025301;T001305;A041913;2012SJ00;0;0
279;A025301;T001305;A041913;2013SJ00;0;0
280;A025301;T001305;A041913;2014SJ00;0;0
281;A025301;T001305;A041913;2015SJ00;0;0
282;A025301;T001305;A041913;2016SJ00;0;0
283;A025301;T001305;A041913;2017SJ00;0;0
284;A025301;T001305;A041913;2018SJ00;0;0
285;A025301;T001305;A041913;2019SJ00;0;0
286;A025301;T001305;A041913;2020SJ00;0;0
287;A025301;T001305;A041913;2021SJ00;0;0
288;A025301;A041914;T001304;1990SJ00;3195;474953
289;A025301;A041914;T001304;1991SJ00;3195;464585
290;A025301;A041914;T001304;1992SJ00;3144;468208
291;A025301;A041914;T001304;1993SJ00;3050;473824
292;A025301;A041914;T001304;1994SJ00;2914;483197
293;A025301;A041914;T001304;1995SJ00;2713;493093
294;A025301;A041914;T001304;1996SJ00;2684;502008
295;A025301;A041914;T001304;1997SJ00;2570;507547
296;A025301;A041914;T001304;1998SJ00;2552;511143
297;A025301;A041914;T001304;1999SJ00;2537;513939
298;A025301;A041914;T001304;2000SJ00;2513;515181
299;A025301;A041914;T001304;2001SJ00;2504;516012
300;A025301;A041914;T001304;2002SJ00;2499;512327
301;A025301;A041914;T001304;2003SJ00;2490;508057
302;A025301;A041914;T001304;2004SJ00;2483;504731
303;A025301;A041914;T001304;2005SJ00;2470;501787
304;A025301;A041914;T001304;2006SJ00;2454;499151
305;A025301;A041914;T001304;2007SJ00;2438;499135
306;A025301;A041914;T001304;2008SJ00;2425;497981
307;A025301;A041914;T001304;2009SJ00;2416;496936
308;A025301;A041914;T001304;2010SJ00;2403;492896
309;A025301;A041914;T001304;2011SJ00;2380;488150
310;A025301;A041914;T001304;2012SJ00;2354;480307
311;A025301;A041914;T001304;2013SJ00;2310;470886
312;A025301;A041914;T001304;2014SJ00;2262;463096
313;A025301;A041914;T001304;2015SJ00;2205;457524
314;A025301;A041914;T001304;2016SJ00;2161;450889
315;A025301;A041914;T001304;2017SJ00;2124;445281
316;A025301;A041914;T001304;2018SJ00;2103;443112
317;A025301;A041914;T001304;2019SJ00;2080;440530
318;A025301;A041914;T001304;2020SJ00;2049;436145
319;A025301;A041914;T001304;2021SJ00;2026;430913
320;A025301;A041914;A041906;1990SJ00;1095;70594
321;A025301;A041914;A041906;1991SJ00;1148;74271
322;A025301;A041914;A041906;1992SJ00;1086;70715
323;A025301;A041914;A041906;1993SJ00;1012;65684
324;A025301;A041914;A041906;1994SJ00;898;58736
325;A025301;A041914;A041906;1995SJ00;761;49863
326;A025301;A041914;A041906;1996SJ00;732;47905
327;A025301;A041914;A041906;1997SJ00;648;42747
328;A025301;A041914;A041906;1998SJ00;619;40769
329;A025301;A041914;A041906;1999SJ00;616;40314
330;A025301;A041914;A041906;2000SJ00;593;39741
331;A025301;A041914;A041906;2001SJ00;580;39291
332;A025301;A041914;A041906;2002SJ00;574;38665
333;A025301;A041914;A041906;2003SJ00;580;39518
334;A025301;A041914;A041906;2004SJ00;575;38916
335;A025301;A041914;A041906;2005SJ00;579;39745
336;A025301;A041914;A041906;2006SJ00;584;40650
337;A025301;A041914;A041906;2007SJ00;565;38607
338;A025301;A041914;A041906;2008SJ00;574;39054
339;A025301;A041914;A041906;2009SJ00;588;39665
340;A025301;A041914;A041906;2010SJ00;604;40224
341;A025301;A041914;A041906;2011SJ00;590;39022
342;A025301;A041914;A041906;2012SJ00;595;38584
343;A025301;A041914;A041906;2013SJ00;579;37586
344;A025301;A041914;A041906;2014SJ00;566;36798
345;A025301;A041914;A041906;2015SJ00;539;36036
346;A025301;A041914;A041906;2016SJ00;522;34995
347;A025301;A041914;A041906;2017SJ00;493;32806
348;A025301;A041914;A041906;2018SJ00;478;32018
349;A025301;A041914;A041906;2019SJ00;482;32695
350;A025301;A041914;A041906;2020SJ00;471;31647
351;A025301;A041914;A041906;2021SJ00;449;30362
352;A025301;A041914;A041907;1990SJ00;1339;194779
353;A025301;A041914;A041907;1991SJ00;1322;191493
354;A025301;A041914;A041907;1992SJ00;1309;190297
355;A025301;A041914;A041907;1993SJ00;1221;178664
356;A025301;A041914;A041907;1994SJ00;1096;161158
357;A025301;A041914;A041907;1995SJ00;921;136074
358;A025301;A041914;A041907;1996SJ00;877;128937
359;A025301;A041914;A041907;1997SJ00;805;118297
360;A025301;A041914;A041907;1998SJ00;812;120421
361;A025301;A041914;A041907;1999SJ00;802;120092
362;A025301;A041914;A041907;2000SJ00;810;122782
363;A025301;A041914;A041907;2001SJ00;800;120409
364;A025301;A041914;A041907;2002SJ00;821;123265
365;A025301;A041914;A041907;2003SJ00;836;125449
366;A025301;A041914;A041907;2004SJ00;861;128957
367;A025301;A041914;A041907;2005SJ00;856;128168
368;A025301;A041914;A041907;2006SJ00;842;126271
369;A025301;A041914;A041907;2007SJ00;841;125841
370;A025301;A041914;A041907;2008SJ00;817;121520
371;A025301;A041914;A041907;2009SJ00;808;120133
372;A025301;A041914;A041907;2010SJ00;786;116236
373;A025301;A041914;A041907;2011SJ00;792;116395
374;A025301;A041914;A041907;2012SJ00;773;113297
375;A025301;A041914;A041907;2013SJ00;760;110840
376;A025301;A041914;A041907;2014SJ00;748;109609
377;A025301;A041914;A041907;2015SJ00;721;105278
378;A025301;A041914;A041907;2016SJ00;716;105536
379;A025301;A041914;A041907;2017SJ00;721;106092
380;A025301;A041914;A041907;2018SJ00;722;106300
381;A025301;A041914;A041907;2019SJ00;708;105556
382;A025301;A041914;A041907;2020SJ00;686;102132
383;A025301;A041914;A041907;2021SJ00;688;101521
384;A025301;A041914;A041908;1990SJ00;751;204010
385;A025301;A041914;A041908;1991SJ00;716;193741
386;A025301;A041914;A041908;1992SJ00;737;200372
387;A025301;A041914;A041908;1993SJ00;803;221454
388;A025301;A041914;A041908;1994SJ00;901;252175
389;A025301;A041914;A041908;1995SJ00;992;284620
390;A025301;A041914;A041908;1996SJ00;1031;299345
391;A025301;A041914;A041908;1997SJ00;1057;310666
392;A025301;A041914;A041908;1998SJ00;1062;314192
393;A025301;A041914;A041908;1999SJ00;1059;316264
394;A025301;A041914;A041908;2000SJ00;1047;313590
395;A025301;A041914;A041908;2001SJ00;1057;315294
396;A025301;A041914;A041908;2002SJ00;1038;309830
397;A025301;A041914;A041908;2003SJ00;1008;303025
398;A025301;A041914;A041908;2004SJ00;980;296042
399;A025301;A041914;A041908;2005SJ00;964;290978
400;A025301;A041914;A041908;2006SJ00;952;286424
401;A025301;A041914;A041908;2007SJ00;958;289511
402;A025301;A041914;A041908;2008SJ00;954;288752
403;A025301;A041914;A041908;2009SJ00;935;285436
404;A025301;A041914;A041908;2010SJ00;932;286155
405;A025301;A041914;A041908;2011SJ00;907;276706
406;A025301;A041914;A041908;2012SJ00;896;272183
407;A025301;A041914;A041908;2013SJ00;886;268840
408;A025301;A041914;A041908;2014SJ00;857;259319
409;A025301;A041914;A041908;2015SJ00;850;256062
410;A025301;A041914;A041908;2016SJ00;826;248682
411;A025301;A041914;A041908;2017SJ00;814;245185
412;A025301;A041914;A041908;2018SJ00;802;240686
413;A025301;A041914;A041908;2019SJ00;789;238178
414;A025301;A041914;A041908;2020SJ00;790;237543
415;A025301;A041914;A041908;2021SJ00;790;236437
416;A025301;A041914;A041909;1990SJ00;10;5570
417;A025301;A041914;A041909;1991SJ00;9;5080
418;A025301;A041914;A041909;1992SJ00;12;6824
419;A025301;A041914;A041909;1993SJ00;14;8022
420;A025301;A041914;A041909;1994SJ00;19;11128
421;A025301;A041914;A041909;1995SJ00;39;22536
422;A025301;A041914;A041909;1996SJ00;44;25821
423;A025301;A041914;A041909;1997SJ00;60;35837
424;A025301;A041914;A041909;1998SJ00;58;34726
425;A025301;A041914;A041909;1999SJ00;59;36147
426;A025301;A041914;A041909;2000SJ00;61;36875
427;A025301;A041914;A041909;2001SJ00;65;38783
428;A025301;A041914;A041909;2002SJ00;64;38302
429;A025301;A041914;A041909;2003SJ00;65;38846
430;A025301;A041914;A041909;2004SJ00;66;39606
431;A025301;A041914;A041909;2005SJ00;70;41743
432;A025301;A041914;A041909;2006SJ00;75;44720
433;A025301;A041914;A041909;2007SJ00;73;44146
434;A025301;A041914;A041909;2008SJ00;80;48655
435;A025301;A041914;A041909;2009SJ00;85;51702
436;A025301;A041914;A041909;2010SJ00;81;50281
437;A025301;A041914;A041909;2011SJ00;91;56027
438;A025301;A041914;A041909;2012SJ00;90;56243
439;A025301;A041914;A041909;2013SJ00;84;52606
440;A025301;A041914;A041909;2014SJ00;90;56354
441;A025301;A041914;A041909;2015SJ00;94;59101
442;A025301;A041914;A041909;2016SJ00;95;59530
443;A025301;A041914;A041909;2017SJ00;94;58950
444;A025301;A041914;A041909;2018SJ00;99;61806
445;A025301;A041914;A041909;2019SJ00;99;61690
446;A025301;A041914;A041909;2020SJ00;100;62404
447;A025301;A041914;A041909;2021SJ00;97;60135
448;A025301;A041914;A041910;1990SJ00;0;0
449;A025301;A041914;A041910;1991SJ00;0;0
450;A025301;A041914;A041910;1992SJ00;0;0
451;A025301;A041914;A041910;1993SJ00;0;0
452;A025301;A041914;A041910;1994SJ00;0;0
453;A025301;A041914;A041910;1995SJ00;0;0
454;A025301;A041914;A041910;1996SJ00;0;0
455;A025301;A041914;A041910;1997SJ00;0;0
456;A025301;A041914;A041910;1998SJ00;1;1035
457;A025301;A041914;A041910;1999SJ00;1;1122
458;A025301;A041914;A041910;2000SJ00;2;2193
459;A025301;A041914;A041910;2001SJ00;2;2235
460;A025301;A041914;A041910;2002SJ00;2;2265
461;A025301;A041914;A041910;2003SJ00;1;1219
462;A025301;A041914;A041910;2004SJ00;1;1210
463;A025301;A041914;A041910;2005SJ00;1;1153
464;A025301;A041914;A041910;2006SJ00;1;1086
465;A025301;A041914;A041910;2007SJ00;1;1030
466;A025301;A041914;A041910;2008SJ00;0;0
467;A025301;A041914;A041910;2009SJ00;0;0
468;A025301;A041914;A041910;2010SJ00;0;0
469;A025301;A041914;A041910;2011SJ00;0;0
470;A025301;A041914;A041910;2012SJ00;0;0
471;A025301;A041914;A041910;2013SJ00;1;1014
472;A025301;A041914;A041910;2014SJ00;1;1016
473;A025301;A041914;A041910;2015SJ00;1;1047
474;A025301;A041914;A041910;2016SJ00;2;2146
475;A025301;A041914;A041910;2017SJ00;2;2248
476;A025301;A041914;A041910;2018SJ00;2;2302
477;A025301;A041914;A041910;2019SJ00;2;2411
478;A025301;A041914;A041910;2020SJ00;2;2419
479;A025301;A041914;A041910;2021SJ00;2;2458
480;A025301;A041914;A041911;1990SJ00;0;0
481;A025301;A041914;A041911;1991SJ00;0;0
482;A025301;A041914;A041911;1992SJ00;0;0
483;A025301;A041914;A041911;1993SJ00;0;0
484;A025301;A041914;A041911;1994SJ00;0;0
485;A025301;A041914;A041911;1995SJ00;0;0
486;A025301;A041914;A041911;1996SJ00;0;0
487;A025301;A041914;A041911;1997SJ00;0;0
488;A025301;A041914;A041911;1998SJ00;0;0
489;A025301;A041914;A041911;1999SJ00;0;0
490;A025301;A041914;A041911;2000SJ00;0;0
491;A025301;A041914;A041911;2001SJ00;0;0
492;A025301;A041914;A041911;2002SJ00;0;0
493;A025301;A041914;A041911;2003SJ00;0;0
494;A025301;A041914;A041911;2004SJ00;0;0
495;A025301;A041914;A041911;2005SJ00;0;0
496;A025301;A041914;A041911;2006SJ00;0;0
497;A025301;A041914;A041911;2007SJ00;0;0
498;A025301;A041914;A041911;2008SJ00;0;0
499;A025301;A041914;A041911;2009SJ00;0;0
500;A025301;A041914;A041911;2010SJ00;0;0
501;A025301;A041914;A041911;2011SJ00;0;0
502;A025301;A041914;A041911;2012SJ00;0;0
503;A025301;A041914;A041911;2013SJ00;0;0
504;A025301;A041914;A041911;2014SJ00;0;0
505;A025301;A041914;A041911;2015SJ00;0;0
506;A025301;A041914;A041911;2016SJ00;0;0
507;A025301;A041914;A041911;2017SJ00;0;0
508;A025301;A041914;A041911;2018SJ00;0;0
509;A025301;A041914;A041911;2019SJ00;0;0
510;A025301;A041914;A041911;2020SJ00;0;0
511;A025301;A041914;A041911;2021SJ00;0;0
512;A025301;A041914;A041912;1990SJ00;0;0
513;A025301;A041914;A041912;1991SJ00;0;0
514;A025301;A041914;A041912;1992SJ00;0;0
515;A025301;A041914;A041912;1993SJ00;0;0
516;A025301;A041914;A041912;1994SJ00;0;0
517;A025301;A041914;A041912;1995SJ00;0;0
518;A025301;A041914;A041912;1996SJ00;0;0
519;A025301;A041914;A041912;1997SJ00;0;0
520;A025301;A041914;A041912;1998SJ00;0;0
521;A025301;A041914;A041912;1999SJ00;0;0
522;A025301;A041914;A041912;2000SJ00;0;0
523;A025301;A041914;A041912;2001SJ00;0;0
524;A025301;A041914;A041912;2002SJ00;0;0
525;A025301;A041914;A041912;2003SJ00;0;0
526;A025301;A041914;A041912;2004SJ00;0;0
527;A025301;A041914;A041912;2005SJ00;0;0
528;A025301;A041914;A041912;2006SJ00;0;0
529;A025301;A041914;A041912;2007SJ00;0;0
530;A025301;A041914;A041912;2008SJ00;0;0
531;A025301;A041914;A041912;2009SJ00;0;0
532;A025301;A041914;A041912;2010SJ00;0;0
